Timestamp,Email Address,Student ID,First Name,Last Name,Major,GPA,Desired Team Role,What is your time commitment to this course?,Level of Detail,Problem Solving Approach,Conflicts,General skills and interests [Writing],General skills and interests [Presentation Generation],General skills and interests [Presentation Delivery],General skills and interests [Project Management],General skills and interests [Marketing / Customer Relationship],Mechanical Skills and Interests [Machining],Mechanical Skills and Interests [CNC],Mechanical Skills and Interests [Fluids],Mechanical Skills and Interests [Heat Transfer],Mechanical Skills and Interests [Mechanics of Materials],Mechanical Skills and Interests [Finite Element Analysis],Mechanical Skills and Interests [Kinematics and Dynamics],Mechanical Skills and Interests [Computational Fluid Dynamics],Electrical Skills and Interests [Circuits],"Electrical Skills and Interests [Digital/FPGA Design (Vivado, etc.)]",Electrical Skills and Interests [Communication Systems],Electrical Skills and Interests [Power Electronics and Systems],Electrical Skills and Interests [Signals and Systems ],Electrical Skills and Interests [Wireless Communication],Electrical Skills and Interests [Control Systems],Electrical Skills and Interests [Electromechanics],"Electrical Skills and Interests [PCB Design (Eagle, ExpressPCB, etc.)]",Computer Systems Skills and interests [Windows PC],Computer Systems Skills and interests [Mac PC],Computer Systems Skills and interests [Arduino],Computer Systems Skills and interests [Raspberry Pi],Computer Systems Skills and interests [Build your own PC],"Computer Systems Skills and interests [IoT (Alexa, Google assistant, etc.)]",Software Skills and Interests [Matlab],Software Skills and Interests [C/C++],Software Skills and Interests [Java],Software Skills and Interests [Python],Software Skills and Interests [Embedded],Software Skills and Interests [Networking],Software Skills and Interests [Operating Systems/Linux],Software Skills and Interests [Machine Learning/ Big Data],Software Skills and Interests [App development (iOS and/or Android)],"Software Skills and Interests [Cloud computing (AWS, Azure, etc.)]",Software Skills and Interests [Database (relational or non-relational)],Project: [Competition - Baja SAE],Project: [Competition - ASME Human Powered Vehicle],Project: [Community - Gyroplane],Project: [Community - Waste for Life Tijuana ],Project: [Community - Mobile Steam Collaboratory],Project: [eTrack - Life Box],Project: [eTrack - Discrete Solar],Project: [eTrack - Sunshine Box],Project: [eTrack - Helmet Sensor],Project: [Industry - Glaukos - Human Periorbital Tissue],Project: [Industry - Clear Blue Sea - Marine Robot],Project: [Industry - ThermoFisher - Bench Top Filler],Project: [Industry - General Atomics - Mockingjay],Project: [Industry - Hatsu - Charging Station for UAV],Project: [Industry - Solar Turbines - Automatic Leveling],Project: [Industry - Northrup - Active Field Cancellation],Project: [Industry - MexLog - Combo Saddle and Elevation System],Project: [Industry - Cubic - Accesible Fare Payment],Project: [Industry - SDGE - Integrated Control of Local Battery],Project: [Industry -Hi-Q Environmental Products - Testing Collection Efficiency of Annular Kinetic Impactor],Project: [CS - Northrup - Machine Learning],Project: [CS - COR.PER - Insights],Project: [CS - Jacobitz - Computing Clusters],Project: [CS - Atlazo - Heart Rhythm Monitoring],Project: [CS - Georgia Tech - Automated System Deployment and Configuration],Project: [CS - Seamgen - Platform for software design],Project: [CS - Hoople - Project Team Match],Project: [CS - Nuuve Corp - Electric Vehicle and User Identification ],Project: [CS - Bennett - Financial Planning Note-taking Application],Project: [CS - Clarke - Unity 3D Game],Project: [CS - Jacobs -  Nudge App & Kiosk],Are you already a member of an entrepreneurship team? ,Confidential Comments to Instructors,Gender,What categories do you most identify as? Check all that apply.
9/10/2019 16:01,QTHW@sandiego.edu,1,DUJ,LDW,Mechanical Engineering,3.21,Contributor,4-6 hours outside of class per week,3,2,,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Interested and able to learn,Proficient,Interested and able to learn,Somewhat capable,Interested and able to learn,Interested and able to learn,Somewhat capable,Somewhat capable,Interested and able to learn,Interested and able to learn,Somewhat capable,Interested and able to learn,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,6,7,,,,,,,3,,2,,5,1,,,,,,4,,,,,,,,,,,,No,,Male,White
9/10/2019 16:05,HPFB@sandiego.edu,2,VUQ,FXT,Mechanical Engineering,3.76,Leader,4-6 hours outside of class per week,3,4,,Adept,Adept,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Adept,Somewhat capable,Adept,Somewhat familiar,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,"1, 2, 3, 4, 5, 6, 7",Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Female,White
9/10/2019 16:42,OUSK@sandiego.edu,3,NEY,AEK,Mechanical Engineering,4,Either,6 hours+ outside class per week - this is a big priority for me,4,3,,Proficient,Somewhat capable,Adept,Adept,Proficient,Adept,Somewhat capable,Proficient,Somewhat capable,Proficient,Interested and able to learn,Somewhat capable,Proficient,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,Adept,Proficient,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,Avoid,,,Avoid,,,,3,2,,1,4,,,6,,,,,,,,5,7,,,,,,,No,,Male,White
9/10/2019 16:53,SGKC@sandiego.edu,4,FYV,ZBW,Electrcial Engineering,3.82,Leader,4-6 hours outside of class per week,2,1,,Adept,Adept,Adept,Proficient,Somewhat capable,Somewhat capable,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Proficient,Adept,Somewhat capable,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Proficient,Proficient,No interest,Proficient,Proficient,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,Avoid,Avoid,7,Avoid,,5,,4,,2,1,,,,6,3,,,,,,,,,,,,,No,,Male,White
9/10/2019 16:56,FUFA@sandiego.edu,5,HRK,LQT,Electrcial Engineering,3.26,Leader,6 hours+ outside class per week - this is a big priority for me,4,4,,Adept,Proficient,Proficient,Proficient,Somewhat capable,Interested and able to learn,No interest,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Somewhat familiar,Interested and able to learn,Adept,Proficient,Proficient,Proficient,Adept,Somewhat familiar,Interested and able to learn,Somewhat familiar,Interested and able to learn,Proficient,No interest,Somewhat Capable,Proficient,Somewhat Capable,Somewhat Familiar,Somewhat Capable,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,,3,7,,5,4,,2,,6,1,,,,,,,,,,,,,,,,No,,Male,White
9/10/2019 17:02,WXNP@sandiego.edu,6,XNQ,UAY,Computer Science,3.31,Contributor,4-6 hours outside of class per week,3,2,,Adept,Proficient,Somewhat capable,Somewhat capable,Proficient,No interest,No interest,Interested and able to learn,No interest,Interested and able to learn,No interest,No interest,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Adept,Adept,Somewhat Capable,Somewhat Capable,Adept,Proficient,Interested and able to learn,Proficient,Adept,Somewhat Capable,No interest,Interested and able to learn,Somewhat Capable,Somewhat Capable,Somewhat Capable,Interested and able to learn,Somewhat Familiar,,,,,,,,,,,,,7,6,,5,,,4,,1,,,,2,,,,,,,No,,Male,White
9/10/2019 17:04,SPXX@sandiego.edu,7,JRV,NEI,Computer Science,3.82,Contributor,4-6 hours outside of class per week,4,1,,Adept,Not interested,Not interested,Adept,Not interested,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Adept,No interest,No interest,Somewhat Familiar,Somewhat Familiar,No interest,Somewhat Capable,Adept,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Avoid,,,Avoid,Avoid,,,,,,,,,,,,,,,,,,1,5,4,3,2,7,6,,,No,,Male,Black or African American
9/10/2019 17:05,YRGR@sandiego.edu,8,OJF,COI,Mechanical Engineering,3.28,Contributor,4-6 hours outside of class per week,3,1,,Proficient,Proficient,Proficient,Adept,Somewhat capable,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat familiar,Somewhat capable,Proficient,Proficient,Somewhat capable,Interested and able to learn,No interest,Somewhat familiar,Somewhat familiar,Interested and able to learn,Somewhat familiar,Somewhat capable,Interested and able to learn,Proficient,Adept,Somewhat Capable,Proficient,No interest,Interested and able to learn,Somewhat Capable,Somewhat Capable,No interest,No interest,No interest,No interest,,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,2,3,4,,,7,,,,,6,,1,,5,,,,,,,,,,,,,,,,,No,"Really interested in a project that allows me to be very hands on, and/or in the machine shop for the majority of the time.",Male,Prefer not to say
9/10/2019 17:10,ZTJE@sandiego.edu,9,DPY,SKU,Electrcial Engineering,3.44,Contributor,2-3 hours outside of class per week,4,2,,Somewhat capable,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Proficient,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,Avoid,Avoid,,,,7,,,1,,6,2,,5,4,,,,,,3,,,,,,Avoid,No,Hello! I'd prefer to be on an industry sponsored project that deals with electrical engineering! Thank you!,Male,"Asian / Pacific Islander, White"
9/10/2019 17:23,ZEIO@sandiego.edu,10,WKX,XAF,Computer Science,3.39,Contributor,4-6 hours outside of class per week,5,2,,Proficient,Proficient,Somewhat capable,Proficient,Proficient,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Interested and able to learn,Interested and able to learn,Somewhat Capable,Proficient,Somewhat Familiar,Somewhat Capable,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,,,,4,,,,,,,,,,,,,,2,,,,,,,3,1,,"3, 6",5,7,7,No,,Male,Hispanic or Latino
